I0313 04:50:24.164448       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:50:26.789318       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:50:26.798638       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:50:29.871449       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:50:34.161632       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:50:41.793582       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:50:41.800488       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
I0313 04:50:44.163926       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:50:44.847484       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:50:54.163036       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
I0313 04:50:55.216802       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:50:56.792087       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:50:56.793585       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:50:59.855682       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:51:04.162095       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:51:11.781776       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:51:11.797536       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
I0313 04:51:14.167047       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:51:14.831328       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:51:24.165144       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:51:26.788566       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:51:26.793270       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:51:29.839888       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:51:34.162496       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:51:41.787972       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:51:41.797760       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
I0313 04:51:44.163360       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:51:44.847988       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
